date,n_candidates,n_held,gross,turnover,net,held
2016-03-15,349,10,-0.014950794,0.5,-0.017875794,"8422,3450,8086,6269,3034,3008,2383,6415,6206,5425"
2016-06-15,352,10,0.053443354,0.3,0.051688354,"8422,4763,3450,8086,3034,6269,5386,5289,2383,6206"
2016-09-19,359,10,0.020680184,0.3,0.018925184,"8422,4763,3450,8086,3293,3034,6206,8016,1773,5289"
2016-12-15,363,10,0.07648092,0.2,0.075310916,"8422,4763,3293,3450,3034,8016,6531,8086,6451,1773"
2017-03-15,258,10,0.011537206,0.6,0.008027206,"8422,4763,8016,3078,2493,3357,6505,4931,6442,3293"
2017-06-15,249,10,0.0620367,0.6,0.058526702,"8422,2404,6197,3265,4931,3357,6415,3078,8299,3163"
2017-09-15,191,10,0.009792745,0.5,0.006867745,"3265,6187,8358,6197,5536,3357,6505,6415,8422,6584"
2017-12-15,191,10,0.06779246,0.5,0.06486746,"3293,1773,8358,2428,3357,3481,6505,6415,6584,2548"
2018-03-15,210,10,0.10505066,0.4,0.102710664,"2428,5536,6415,8358,3034,3357,3293,1560,3481,2409"
2018-06-15,196,10,0.015033001,0.8,0.010353001,"4989,3293,1773,5536,4764,8070,2441,6176,3402,1227"
2018-09-17,185,10,-0.14073631,0.6,-0.14424631,"1104,3265,2408,5536,1227,2327,1220,8070,3014,4989"
2018-12-17,196,10,0.046407968,0.3,0.04465297,"1104,2408,6670,2327,5536,3265,1220,8155,1227,3026"
2019-03-15,198,10,-0.020868212,0.2,-0.022038212,"1104,2327,6670,1220,3026,8155,2408,1227,6206,2542"
2019-06-17,188,10,0.059171297,0.6,0.0556613,"1104,3026,2492,6670,5536,6488,8210,1109,6206,8016"
2019-09-16,201,10,0.060550887,0.4,0.058210887,"1104,2492,6691,6670,3026,6176,1109,8210,1220,3293"
2019-12-16,187,10,-0.1828838,0.4,-0.1852238,"1104,6176,6691,1109,8210,3034,1220,1203,8016,2458"
2020-03-16,187,10,0.25493106,0.5,0.25200605,"1104,6176,1109,8016,3044,3034,4931,2428,2404,6669"
2020-06-15,179,10,0.14025773,0.4,0.13791773,"1104,1109,6670,8070,1220,6176,3293,3034,3044,4931"
2020-09-15,192,10,0.026499528,0.5,0.02357453,"1104,1109,6670,5289,1220,8016,3293,1203,1227,3413"
2020-12-15,154,10,0.16638127,0.4,0.16404127,"1104,1109,3293,1220,8016,3034,3265,2472,1203,8131"
2021-03-15,159,10,0.1380399,0.3,0.1362849,"1104,1109,1220,8155,3293,1203,8016,8131,4763,6138"
2021-06-15,183,10,-0.050077904,0.5,-0.053002905,"1104,1109,8155,3293,2472,8422,1220,2609,6176,6515"
2021-09-15,197,10,0.10151966,0.5,0.09859466,"1109,1104,3293,8081,1201,8422,1220,3709,6121,2492"
2021-12-15,196,10,-0.040962607,0.5,-0.043887608,"1109,1104,1220,3293,2327,1201,3563,2615,2377,2603"
2022-03-15,197,10,-0.05014999,0.4,-0.05248999,"1109,1104,2458,2327,1220,2337,2377,2615,8081,6670"
2022-06-15,201,10,-0.12829676,0.5,-0.13122176,"1109,1104,2615,3592,1201,2603,3293,2337,8081,3034"
2022-09-15,189,10,0.056430906,0.5,0.053505905,"2603,2615,1104,3592,3034,2609,4763,6706,6770,6231"
2022-12-15,202,10,0.21768233,0.2,0.21651234,"2603,3034,2609,1104,3592,8081,6231,4763,8016,2615"
2023-03-15,199,10,0.1697999,0.6,0.1662899,"1104,4763,2603,3592,6670,6176,6121,5483,6206,6669"
2023-06-15,176,10,0.1992276,0.3,0.1974726,"1104,4763,6670,6176,6121,6669,3293,2385,9802,5483"
2023-09-15,168,10,0.049128693,0.4,0.046788692,"1104,4763,6670,5536,6176,4770,6669,9802,2330,4931"
2023-12-15,132,10,0.10617761,0.6,0.102667615,"1104,6903,1219,4763,6176,5536,1108,3293,6143,2493"
2024-03-15,130,10,0.13745293,0.2,0.13628294,"1104,4763,1219,6903,3078,6143,1108,6757,3293,5536"
2024-06-17,131,10,0.009298438,0.3,0.007543438,"1104,4763,1219,1108,6903,3034,1220,3078,6757,2458"
2024-09-16,159,10,0.109970964,0.3,0.108215965,"1104,1108,8081,8016,4763,2458,3034,3078,5314,6903"
2024-12-16,187,10,0.04080544,0.6,0.037295442,"1104,1103,1108,6757,2609,8081,6176,8464,2472,4763"
2025-03-17,181,10,-0.046160687,0.4,-0.048500687,"1104,1108,6176,2609,1220,5314,6757,2472,2615,6788"
2025-06-16,177,10,0.15067641,0.4,0.14833641,"1104,1108,5314,1103,2609,2472,2603,2615,2618,6944"
2025-09-15,163,10,-0.048780225,0.5,-0.051705226,"1104,8464,5314,3034,6788,8114,2472,2609,2618,3526"
2025-12-15,167,10,0.019545972,0.5,0.016620973,"1104,1103,8114,3293,5314,6206,4763,6788,3617,2472"
2026-03-16,143,10,0.2957523,0.4,0.2934123,"1103,3078,3293,8114,2472,4763,8932,3014,6206,8464"
