ticker,entry_date,entry_price,stop,entry_idx,checked_idx,atr0,run_high,exit_date,exit_price,exit_reason,still_open
3533,2019-02-25,187.90911865234375,181.5782012939453,763,765,7.2227783203125,192.41236877441406,2019-02-27,181.5782012939453,移動停損,False
4536,2019-02-25,109.8908462524414,102.74794687543596,763,765,4.761932918003628,109.8908462524414,2019-02-26,102.74794687543596,移動停損,False
9910,2019-02-25,105.81625366210938,103.6391552734375,763,765,2.9601712908063615,105.81625366210938,2019-02-26,103.6391552734375,移動停損,False
2379,2019-02-25,126.70925903320312,126.61795806884766,763,770,4.9296112060546875,134.0123748779297,2019-03-04,126.61795806884766,移動停損,False
8210,2019-02-25,40.26844024658203,43.12835257393973,763,780,1.0963900429861886,45.32113265991211,2019-03-18,43.12835257393973,移動停損,False
6176,2019-02-25,54.848350524902344,57.35908562796457,763,785,1.6934735434395927,60.74603271484375,2019-03-25,57.35908562796457,移動停損,False
2480,2019-03-18,37.87429428100586,39.24593598502023,776,788,1.2411181586129325,41.728172302246094,2019-04-01,39.24593598502023,移動停損,False
9910,2019-03-18,119.90667724609375,116.5123541695731,776,788,3.0785816737583707,122.66951751708984,2019-04-03,116.5123541695731,移動停損,False
2501,2019-03-25,15.288055419921875,16.894093785967147,781,788,0.1815742083958217,17.25724220275879,2019-04-01,16.894093785967147,移動停損,False
2458,2019-03-18,54.19049835205078,56.652898515973774,776,793,1.4659243992396764,59.584747314453125,2019-04-08,56.652898515973774,移動停損,False
8210,2019-04-01,54.20162582397461,51.565909249441965,786,793,2.1599717821393694,55.8858528137207,2019-04-12,51.565909249441965,移動停損,False
6176,2019-04-08,59.566490173339844,59.31373269217355,789,793,1.4533555167061942,62.22044372558594,2019-04-08,59.31373269217355,移動停損,False
3044,2019-04-15,69.78886413574219,68.92020961216518,794,803,1.989030020577567,72.89826965332031,2019-04-22,68.92020961216518,移動停損,False
6121,2019-04-15,175.6771240234375,166.7012438092913,794,807,6.363497052873884,179.42823791503906,2019-04-29,166.7012438092913,移動停損,False
1231,2019-04-15,21.012399673461914,21.000556332724436,794,817,0.5922321592058454,21.888904571533203,2019-05-14,21.000556332724436,移動停損,False
2379,2019-04-15,143.87159729003906,167.48937143598283,794,817,4.46012932913644,174.1795654296875,2019-05-13,167.48937143598283,移動停損,False
2501,2019-05-13,18.653575897216797,18.74564184461321,813,817,0.5114770616803851,19.51285743713379,2019-05-13,18.74564184461321,移動停損,False
6121,2019-05-13,167.5496826171875,164.5689081464495,813,817,5.113118852887835,172.23858642578125,2019-05-14,164.5689081464495,移動停損,False
9910,2019-05-13,139.79904174804688,137.12502016339982,813,817,4.361324855259487,143.66700744628906,2019-05-14,137.12502016339982,移動停損,False
3491,2019-05-20,73.11005401611328,70.06289482116699,818,822,3.9401942661830356,73.26544189453125,2019-05-21,70.06289482116699,移動停損,False
2379,2019-05-27,149.714111328125,144.54348693847658,823,827,8.424673897879464,149.714111328125,2019-05-27,144.54348693847658,移動停損,False
9910,2019-05-27,132.3394012451172,131.68817520141602,823,827,4.854682922363281,138.97019958496094,2019-05-27,131.68817520141602,移動停損,False
2108,2019-06-03,23.698909759521484,23.470254012516566,828,831,0.5770295006888253,24.335798263549805,2019-06-03,23.470254012516566,移動停損,False
5269,2019-06-03,499.4074401855469,478.015751953125,828,831,23.304412841796875,502.07806396484375,2019-06-04,478.015751953125,移動停損,False
9910,2019-06-10,135.93109130859375,132.20126251220702,832,836,4.578399658203125,137.5887908935547,2019-06-12,132.20126251220702,移動停損,False
2379,2019-06-10,154.82627868652344,161.4643189566476,832,846,7.016219002859933,171.9886474609375,2019-06-24,161.4643189566476,移動停損,False
2385,2019-06-17,49.87730407714844,52.088696343558176,837,856,1.0317835126604353,53.63637161254883,2019-07-08,52.088696343558176,移動停損,False
2379,2019-07-08,168.33706665039062,160.36883163452148,852,856,6.285911560058594,169.79769897460938,2019-07-10,160.36883163452148,移動停損,False
3044,2019-07-15,79.50489807128906,76.2868480682373,857,861,2.145366668701172,79.50489807128906,2019-07-16,76.2868480682373,移動停損,False
6176,2019-07-15,75.24701690673828,74.38238321031842,857,861,2.0518507276262556,77.46015930175781,2019-07-15,74.38238321031842,移動停損,False
6213,2019-07-15,90.44464111328125,86.61173411778041,857,861,3.5993641444614957,92.01078033447266,2019-07-18,86.61173411778041,移動停損,False
5483,2019-07-15,62.49795150756836,62.02037239074707,857,866,1.5383186340332031,64.32785034179688,2019-07-22,62.02037239074707,移動停損,False
8454,2019-07-15,120.59014892578125,119.44385855538505,857,866,1.834073747907366,122.1949691772461,2019-07-24,119.44385855538505,移動停損,False
3044,2019-07-29,78.04610443115234,75.15454701014927,867,871,1.9277049473353796,78.04610443115234,2019-07-30,75.15454701014927,移動停損,False
6176,2019-07-29,78.09248352050781,75.80029896327427,867,871,3.003556387765067,80.30563354492188,2019-08-02,75.80029896327427,移動停損,False
6213,2019-07-29,101.01608276367188,95.56255558558873,867,871,4.418755667550223,102.19068908691406,2019-07-30,95.56255558558873,移動停損,False
8016,2019-08-19,90.79263305664062,90.8814675467355,881,885,3.6867877415248325,98.25504302978516,2019-08-19,90.8814675467355,移動停損,False
5434,2019-08-19,68.04066467285156,67.73723656790597,881,890,1.433429445539202,70.60409545898438,2019-08-26,67.73723656790597,移動停損,False
8081,2019-08-19,84.90830993652344,85.03263310023716,881,890,3.576769692557199,92.18617248535156,2019-08-26,85.03263310023716,移動停損,False
3324,2019-08-19,167.24253845214844,162.43956429617745,881,895,8.86705562046596,180.17367553710938,2019-09-02,162.43956429617745,移動停損,False
1227,2019-09-02,49.659061431884766,49.118556431361604,891,895,0.7826102120535714,50.68377685546875,2019-09-03,49.118556431361604,移動停損,False
3293,2019-08-19,68.50269317626953,70.79102597917829,881,898,2.720411845615932,76.23184967041016,2019-09-10,70.79102597917829,移動停損,False
8081,2019-09-10,79.7098388671875,79.90787724086216,896,903,3.3666294642857144,86.6411361694336,2019-09-16,79.90787724086216,移動停損,False
6213,2019-08-12,110.02139282226562,124.78789275033134,876,908,5.8170945303780695,133.51353454589844,2019-09-24,124.78789275033134,移動停損,False
2345,2019-08-19,135.5511474609375,148.91958945138114,881,908,5.853635515485491,157.70004272460938,2019-09-23,148.91958945138114,移動停損,False
8016,2019-09-02,101.6753158569336,106.29488263811385,891,908,4.175395420619419,112.55797576904297,2019-09-25,106.29488263811385,移動停損,False
5434,2019-09-10,68.04066467285156,69.1261877332415,896,908,1.0829178946358817,70.75056457519531,2019-09-25,69.1261877332415,移動停損,False
1227,2019-09-16,51.0778923034668,49.65624359675816,899,908,1.052863257271903,51.235538482666016,2019-09-27,49.65624359675816,移動停損,False
3044,2019-09-16,86.4342269897461,85.01450102669853,899,908,2.162156786237444,88.25773620605469,2019-09-23,85.01450102669853,移動停損,False
2385,2019-09-16,61.94048309326172,61.619600023542134,899,912,1.3856383732386999,64.39087677001953,2019-10-01,61.619600023542134,移動停損,False
8016,2019-10-07,114.73452758789062,108.837890625,913,915,3.93109130859375,114.73452758789062,2019-10-08,108.837890625,移動停損,False
8210,2019-09-02,58.961212158203125,59.0773914882115,891,920,2.4630094255719865,64.00341033935547,2019-10-14,59.0773914882115,移動停損,False
1227,2019-10-07,49.26494216918945,48.13325554983957,913,920,0.7544577462332589,49.58023452758789,2019-10-14,48.13325554983957,移動停損,False
3324,2019-10-14,206.8979949951172,192.3042951311384,916,920,7.943402971540179,208.19110107421875,2019-10-17,192.3042951311384,移動停損,False
5434,2019-10-07,70.67733001708984,71.19001988002232,913,925,1.391573769705636,73.9731674194336,2019-10-23,71.19001988002232,移動停損,False
3293,2019-10-21,69.31778717041016,67.58195175170898,921,925,2.260363442557199,69.40643310546875,2019-10-24,67.58195175170898,移動停損,False
8016,2019-10-21,114.423583984375,110.78122057233539,921,925,4.6195863996233255,120.02039337158203,2019-10-21,110.78122057233539,移動停損,False
2345,2019-10-21,167.44554138183594,159.59850202287947,921,930,5.2524533952985495,170.10340881347656,2019-11-01,159.59850202287947,移動停損,False
2385,2019-10-14,63.23374557495117,65.67441722324916,916,935,1.3661910465785436,68.40679931640625,2019-11-04,65.67441722324916,移動停損,False
8016,2019-11-04,114.11265563964844,107.07311569213867,931,935,4.286441258021763,114.423583984375,2019-11-07,107.07311569213867,移動停損,False
2379,2019-10-21,178.01800537109375,167.67313711983817,921,940,5.73816898890904,179.14947509765625,2019-11-11,167.67313711983817,移動停損,False
4958,2019-10-21,105.57008361816406,111.6916994367327,921,940,3.7564452035086497,119.20458984375,2019-11-13,111.6916994367327,移動停損,False
3217,2019-11-18,46.40105056762695,46.42179707118443,941,945,2.095463616507394,50.61272430419922,2019-11-18,46.42179707118443,移動停損,False
6412,2019-11-18,45.62857437133789,45.73074231828962,941,950,1.450796672276088,48.6323356628418,2019-11-25,45.73074231828962,移動停損,False
3217,2019-12-02,48.506893157958984,46.618901933942524,951,965,2.105837958199637,50.8305778503418,2019-12-16,46.618901933942524,移動停損,False
2207,2019-12-16,559.5717163085938,536.3014569963727,961,965,11.635129656110491,559.5717163085938,2019-12-16,536.3014569963727,移動停損,False
5289,2019-12-02,104.87954711914062,119.9608906337193,951,974,3.3267713274274553,126.61443328857422,2019-12-31,119.9608906337193,移動停損,False
2207,2019-12-30,594.1757202148438,581.1540091378348,971,974,12.840842110770089,606.835693359375,2019-12-31,581.1540091378348,移動停損,False
6412,2019-12-09,45.48553466796875,43.4217289515904,956,979,1.425253459385463,46.27223587036133,2020-01-06,43.4217289515904,移動停損,False
3533,2019-12-16,275.1022033691406,267.0841761997768,961,979,7.197978428431919,281.4801330566406,2020-01-07,267.0841761997768,移動停損,False
8210,2019-12-16,68.23235321044922,69.95181819370815,961,979,1.2954036167689733,72.5426254272461,2020-01-07,69.95181819370815,移動停損,False
8464,2020-01-13,227.08636474609375,223.98331124441964,980,984,4.316053118024554,232.61541748046875,2020-01-15,223.98331124441964,移動停損,False
3406,2020-01-13,525.454833984375,495.8548115321568,980,987,20.309520176478795,526.319091796875,2020-01-30,495.8548115321568,移動停損,False
6121,2020-01-13,200.7969970703125,215.61772428240096,980,987,4.2678102765764505,222.01943969726562,2020-01-30,215.61772428240096,移動停損,False
1582,2020-01-20,64.51033020019531,63.24624443054199,985,987,0.8427238464355469,64.51033020019531,2020-01-30,63.24624443054199,移動停損,False
2458,2020-01-20,63.879093170166016,62.43969862801688,985,987,1.2230164664132255,64.27422332763672,2020-01-30,62.43969862801688,移動停損,False
3217,2020-01-20,49.74134826660156,48.42556411743164,985,987,1.327817371913365,50.249656677246094,2020-01-30,48.42556411743164,移動停損,False
3533,2020-01-20,289.9841003417969,281.05496760777066,985,987,7.653540475027902,292.5352783203125,2020-01-30,281.05496760777066,移動停損,False
4551,2020-01-20,164.0928192138672,156.61620276314872,985,987,4.984410967145648,164.0928192138672,2020-01-30,156.61620276314872,移動停損,False
8210,2020-01-20,94.74456024169922,90.19031252179828,985,987,3.5783353533063615,95.55781555175781,2020-01-30,90.19031252179828,移動停損,False
3533,2020-02-10,284.8817138671875,269.4810986328125,993,997,11.875134059361049,284.8817138671875,2020-02-13,269.4810986328125,移動停損,False
6121,2020-02-10,203.08248901367188,202.97148834228517,993,997,5.713732038225446,205.69448852539062,2020-02-10,202.97148834228517,移動停損,False
8210,2020-02-10,77.259521484375,73.58684631347656,993,1006,7.086963653564453,81.7324447631836,2020-02-25,73.58684631347656,移動停損,False
3293,2020-02-17,88.55303192138672,108.45940426417759,998,1011,4.280125754220145,114.87959289550781,2020-03-02,108.45940426417759,移動停損,False
3217,2020-05-04,69.71050262451172,66.59323256356376,1049,1053,3.1431977408272878,71.30802917480469,2020-05-08,66.59323256356376,移動停損,False
5289,2020-05-04,125.92444610595703,125.22214344569615,1049,1058,3.918198721749442,131.0994415283203,2020-05-11,125.22214344569615,移動停損,False
2421,2020-06-08,42.515464782714844,39.23708234514509,1074,1078,1.6794534410749162,42.59598922729492,2020-06-12,39.23708234514509,移動停損,False
3533,2020-06-08,340.15728759765625,315.49588884626115,1074,1078,13.606288364955358,342.7084655761719,2020-06-12,315.49588884626115,移動停損,False
6415,2020-06-08,383.85693359375,443.32049560546875,1074,1096,23.648330688476562,490.6171569824219,2020-07-10,443.32049560546875,移動停損,False
2905,2020-06-15,18.71375274658203,19.109415326799667,1079,1096,0.4758642741612026,20.06114387512207,2020-07-10,19.109415326799667,移動停損,False
2345,2020-07-13,227.24752807617188,217.69186401367188,1097,1101,8.3216552734375,234.33517456054688,2020-07-16,217.69186401367188,移動停損,False
8081,2020-07-13,122.51216125488281,116.39708164760044,1097,1101,4.869849068777902,126.13677978515625,2020-07-15,116.39708164760044,移動停損,False
6415,2020-07-20,415.0453796386719,397.6518206787109,1102,1106,19.535579136439733,419.8435974121094,2020-07-20,397.6518206787109,移動停損,False
2207,2020-07-20,624.430908203125,603.8857770647321,1102,1111,22.743970598493302,649.3737182617188,2020-07-27,603.8857770647321,移動停損,False
2345,2020-07-27,215.3689727783203,205.75003112792967,1107,1111,7.563158307756696,219.91262817382812,2020-07-28,205.75003112792967,移動停損,False
2330,2020-07-20,332.5621032714844,405.6229553222656,1102,1116,6.8374481201171875,419.2978515625,2020-08-03,405.6229553222656,移動停損,False
2905,2020-07-20,19.5745849609375,22.77657209123884,1102,1121,0.4304166521344866,23.637405395507812,2020-08-10,22.77657209123884,移動停損,False
3533,2020-07-20,388.2044677734375,380.01822335379467,1102,1121,19.224958147321427,418.4681396484375,2020-08-10,380.01822335379467,移動停損,False
2383,2020-07-27,142.9470672607422,143.54418727329798,1107,1121,4.717133658272879,152.97845458984375,2020-08-10,143.54418727329798,移動停損,False
6415,2020-08-10,442.1354064941406,424.3378399658203,1117,1121,21.082750592912948,442.1354064941406,2020-08-11,424.3378399658203,移動停損,False
2458,2020-08-17,98.23194122314453,93.3692559814453,1122,1126,4.438042776925223,99.96749114990234,2020-08-20,93.3692559814453,移動停損,False
3231,2020-08-17,27.247283935546875,26.072511520385742,1122,1126,0.6860837936401367,27.247283935546875,2020-08-19,26.072511520385742,移動停損,False
3529,2020-08-17,583.714111328125,527.2564915248325,1122,1126,28.707264491489955,584.6710205078125,2020-08-20,527.2564915248325,移動停損,False
4966,2020-08-17,980.145263671875,909.6957421875,1122,1126,69.08513532366071,1014.6878662109375,2020-08-20,909.6957421875,移動停損,False
3217,2020-08-31,93.20681762695312,89.67297393798827,1132,1136,5.4521331787109375,94.3575210571289,2020-08-31,89.67297393798827,移動停損,False
1590,2020-08-17,600.206298828125,590.6934770856585,1122,1141,27.70282200404576,646.09912109375,2020-09-08,590.6934770856585,移動停損,False
2458,2020-08-31,99.96749114990234,103.14105442592076,1132,1141,4.140520913260324,111.4220962524414,2020-09-07,103.14105442592076,移動停損,False
2472,2020-09-21,41.99870300292969,39.961451939174104,1147,1151,1.2536909920828683,42.468833923339844,2020-09-25,39.961451939174104,移動停損,False
5471,2020-09-21,54.00827407836914,50.58160618373326,1147,1151,2.3899405343191966,54.390228271484375,2020-09-25,50.58160618373326,移動停損,False
3017,2020-09-07,59.234092712402344,57.768885476248606,1137,1154,3.8711839403424944,65.5112533569336,2020-09-28,57.768885476248606,移動停損,False
2520,2020-09-28,23.7050838470459,23.658412797110422,1152,1168,0.8618063245500837,24.951122283935547,2020-10-22,23.658412797110422,移動停損,False
3533,2020-09-28,404.5482177734375,409.61280713762557,1152,1168,16.343516758510045,434.1280822753906,2020-10-19,409.61280713762557,移動停損,False
3017,2020-10-12,60.37657928466797,62.039944648742676,1159,1168,2.7863636016845703,66.21949005126953,2020-10-19,62.039944648742676,移動停損,False
3653,2020-10-12,277.6996765136719,272.4551892961775,1159,1168,10.789415631975446,288.6393127441406,2020-10-19,272.4551892961775,移動停損,False
1590,2020-10-19,603.5072631835938,598.7002111816406,1164,1168,21.87746320452009,608.0381469726562,2020-10-19,598.7002111816406,移動停損,False
3529,2020-10-19,539.6962890625,517.7831500244141,1164,1168,29.117361886160715,545.437744140625,2020-10-19,517.7831500244141,移動停損,False
4966,2020-10-19,1029.0465087890625,968.0752087402344,1164,1168,46.166333879743306,1033.4254150390625,2020-10-20,968.0752087402344,移動停損,False
2472,2020-10-05,41.05842971801758,41.024849210466655,1155,1173,1.1193667820521764,42.70389938354492,2020-10-29,41.024849210466655,移動停損,False
5471,2020-10-05,50.57069396972656,51.98665033067976,1155,1173,3.181130817958287,56.75834655761719,2020-10-27,51.98665033067976,移動停損,False
2330,2020-10-26,411.2060546875,400.8936527797154,1169,1173,6.874934605189732,411.2060546875,2020-10-28,400.8936527797154,移動停損,False
2428,2020-10-26,93.40508270263672,90.09910447256905,1169,1173,2.4832213265555247,93.82393646240234,2020-10-27,90.09910447256905,移動停損,False
9914,2020-10-26,224.47842407226562,244.45188576834542,1169,1178,6.216707502092634,253.77694702148438,2020-11-02,244.45188576834542,移動停損,False
1590,2020-11-02,697.7485961914062,677.5863821847098,1174,1178,24.919625418526785,714.9658203125,2020-11-02,677.5863821847098,移動停損,False
3529,2020-11-02,551.1792602539062,546.7023250034877,1174,1183,34.24365670340402,598.0678100585938,2020-11-10,546.7023250034877,移動停損,False
2330,2020-11-09,413.91729736328125,407.1553192138672,1179,1183,5.712982177734375,415.72479248046875,2020-11-10,407.1553192138672,移動停損,False
5471,2020-11-09,54.3138427734375,51.90753282819475,1179,1183,1.6042066301618303,54.3138427734375,2020-11-09,51.90753282819475,移動停損,False
6282,2020-11-02,22.28570556640625,22.40745108468192,1174,1188,0.7061303002493722,23.819711685180664,2020-11-17,22.40745108468192,移動停損,False
2428,2020-11-09,98.01249694824219,112.8520039149693,1179,1188,3.4705281938825334,119.79306030273438,2020-11-18,112.8520039149693,移動停損,False
3324,2020-11-16,230.17483520507812,216.74321637834822,1184,1188,7.824551173618862,232.39231872558594,2020-11-17,216.74321637834822,移動停損,False
3017,2020-11-16,67.10477447509766,64.81568309238979,1184,1198,2.9593879154750278,70.73445892333984,2020-12-01,64.81568309238979,移動停損,False
6104,2020-11-16,62.88131332397461,63.134184156145366,1184,1198,2.1072815486363004,67.34874725341797,2020-11-30,63.134184156145366,移動停損,False
3680,2020-11-30,253.4009246826172,245.94797842843192,1194,1203,9.425821576799665,264.79962158203125,2020-12-11,245.94797842843192,移動停損,False
2108,2020-11-23,46.396522521972656,44.035470733642576,1189,1208,2.3503434317452565,47.37092208862305,2020-12-14,44.035470733642576,移動停損,False
3374,2020-11-23,170.6664276123047,175.75123487200057,1189,1208,9.55027825491769,194.85179138183594,2020-12-14,175.75123487200057,移動停損,False
3048,2020-11-30,15.758025169372559,16.64663287571498,1194,1208,0.4714576176234654,17.589548110961914,2020-12-14,16.64663287571498,移動停損,False
