date,n_candidates,n_held,gross,turnover,net,held
2016-03-15,416,10,0.016219353,0.5,0.013294353,"2905,8422,3450,8086,3034,2108,6269,1232,3008,2383"
2016-06-15,416,10,0.0327337,0.2,0.031563703,"2905,8422,4763,3450,8086,2530,3034,2108,6269,1232"
2016-09-19,425,10,0.04063102,0.1,0.040046018,"2905,4763,8422,3450,8086,2530,3293,3034,2108,1232"
2016-12-15,431,10,0.10353669,0.3,0.10178169,"2905,8422,6525,3293,4763,3450,2530,3034,8016,6803"
2017-03-15,279,10,0.00534191,0.5,0.00241691,"1563,8422,3592,6525,4763,8383,8016,4931,6803,3357"
2017-06-15,274,10,0.044913135,0.4,0.042573135,"1563,8422,3592,6525,2404,4931,6197,3265,3357,6415"
2017-09-15,218,10,0.018533804,0.4,0.016193803,"1563,6620,3592,6525,3265,6187,8358,6197,5536,3357"
2017-12-15,220,10,0.0519329,0.5,0.0490079,"1563,6620,3293,3592,1773,8358,3357,3481,2428,6588"
2018-03-15,232,10,-0.019626103,0.4,-0.021966103,"1563,6620,6525,3592,5536,2428,6415,8358,6588,3034"
2018-06-15,219,10,-0.022585481,0.4,-0.024925482,"1563,4989,6620,5534,3592,3293,6525,1773,5536,6588"
2018-09-17,204,10,-0.11890589,0.5,-0.12183089,"1563,6620,3265,2408,5536,5534,1808,2327,3592,1312"
2018-12-17,211,10,0.09727049,0.1,0.09668549,"1563,2408,6620,6670,2327,5536,1808,3265,5534,3592"
2019-03-15,216,10,-0.027526999,0.5,-0.030451998,"6670,8155,3026,2327,2408,2542,1808,6206,5534,1232"
2019-06-17,200,10,0.0915541,0.7,0.087459095,"3026,2492,6670,6488,5536,2108,8210,6672,8016,6206"
2019-09-16,206,10,0.05334155,0.5,0.050416548,"2492,6670,6691,6176,3026,8210,3293,2428,3088,8016"
2019-12-16,187,10,-0.21032982,0.6,-0.21383981,"6176,6691,1582,8210,3034,2108,3044,8016,4536,9911"
2020-03-16,197,10,0.32677352,0.5,0.32384852,"6176,8016,3034,3044,4931,2428,2905,2404,6525,2108"
2020-06-15,185,10,0.1037428,0.5,0.1008178,"6670,6176,8070,3293,3034,3044,4931,2905,8081,6462"
2020-09-15,200,10,0.016992424,0.7,0.0128974235,"6757,6670,5289,6525,8016,3293,3413,2548,4763,3044"
2020-12-15,164,10,0.2669969,0.7,0.2629019,"3293,6525,3265,3034,8016,2472,8131,6138,3526,8155"
2021-03-15,165,10,0.1437524,0.5,0.1408274,"8155,3293,8131,1232,8016,6138,4763,3030,8081,2383"
2021-06-15,201,10,-0.027195115,0.7,-0.031290114,"8155,3293,2472,2520,8422,6515,1232,3709,6176,4536"
2021-09-15,209,10,0.08074911,0.6,0.07723911,"3293,2108,6805,5471,8081,8422,3709,6121,2520,1304"
2021-12-15,209,10,-0.054744508,0.5,-0.05766951,"3293,6805,2327,2108,5471,3563,2520,2615,2603,2377"
2022-03-15,221,10,-0.112036705,0.5,-0.114961706,"2108,6805,2458,2327,1304,2337,2615,2377,8081,6670"
2022-06-15,218,10,-0.16823752,0.6,-0.17174752,"2615,3592,2603,3293,2337,3034,8081,5471,2609,1304"
2022-09-15,210,10,0.058904484,0.5,0.055979483,"2615,2603,3135,3592,3034,2609,4763,6706,6231,6770"
2022-12-15,227,10,0.24407233,0.3,0.24231733,"2603,3034,2609,3592,3135,8081,6231,4763,8016,8070"
2023-03-15,224,10,0.14155796,0.6,0.13804796,"4763,3592,6176,2603,6670,6121,6206,5483,6669,6231"
2023-06-15,197,10,0.2143293,0.5,0.21140431,"6526,4763,6670,6176,4536,6121,6669,3293,2385,2484"
2023-09-15,182,10,0.04582811,0.5,0.04290311,"4763,4536,6670,6176,5536,6669,2707,2330,4770,1712"
2023-12-15,147,10,0.28450084,0.5,0.28157583,"6903,4763,1808,6176,5536,2707,4536,3293,6805,2493"
2024-03-15,144,10,0.13665266,0.4,0.13431266,"4763,6903,1808,6757,2707,3293,5536,6472,2206,6139"
2024-06-17,124,10,-0.035896957,0.5,-0.038821958,"4763,6903,3034,1808,6757,2458,6620,8016,2206,6291"
2024-09-16,158,10,0.15901008,0.4,0.15667008,"8081,8016,4763,2458,5314,3034,6903,2520,6757,2454"
2024-12-16,198,10,0.10851036,0.6,0.10500036,"6757,2609,2520,6176,8081,2472,8464,4763,6206,4770"
2025-03-17,190,10,-0.045071147,0.5,-0.04799615,"2609,6176,2520,2472,5314,6757,6788,2615,2618,2603"
2025-06-16,179,10,0.20188046,0.2,0.20071046,"2609,5314,2472,2603,2520,2615,2618,6788,6944,3044"
2025-09-15,169,10,-0.027293343,0.5,-0.030218342,"8464,5314,2472,6788,8114,3034,2609,2618,4536,6175"
2025-12-15,175,10,0.024030577,0.5,0.021105578,"4536,8114,6206,5314,3293,4763,3617,6788,2615,2472"
2026-03-16,148,10,0.35432115,0.3,0.35256615,"8114,3293,4536,4763,2472,8932,6206,3014,3617,6104"
